,test_C00,test_C01,test_C10,test_C11,train_C00,train_C01,train_C10,train_C11,valid_C00,valid_C01,valid_C10,valid_C11
0,72,18,19,40,283,7,1,289,51,21,11,36
1,67,23,17,42,282,8,0,290,53,19,20,27
2,62,28,18,41,282,7,0,289,51,22,10,37
3,54,36,11,48,243,47,0,290,46,26,12,35
4,60,30,13,46,238,51,1,288,34,39,15,32
