,test_C00,test_C01,test_C10,test_C11,train_C00,train_C01,train_C10,train_C11,valid_C00,valid_C01,valid_C10,valid_C11
0,67,23,16,43,266,24,1,289,49,23,10,37
1,66,24,18,41,266,24,4,286,50,22,18,29
2,57,33,12,47,263,26,0,289,43,30,10,37
3,51,39,10,49,229,61,1,289,38,34,12,35
4,73,17,27,32,276,13,24,265,50,23,26,21
