,test_C00,test_C01,test_C10,test_C11,train_C00,train_C01,train_C10,train_C11,valid_C00,valid_C01,valid_C10,valid_C11
0,67,23,14,45,266,24,3,287,57,15,14,33
1,69,21,21,38,280,10,9,281,59,13,16,31
2,61,29,13,46,235,54,1,288,49,24,8,39
3,67,23,18,41,288,2,0,290,59,13,12,35
4,73,17,32,27,283,6,31,258,62,11,21,26
