,test_C00,test_C01,test_C10,test_C11,train_C00,train_C01,train_C10,train_C11,valid_C00,valid_C01,valid_C10,valid_C11
0,62,28,12,47,233,57,3,287,44,28,11,36
1,65,25,23,36,239,51,12,278,55,17,17,30
2,70,20,26,33,250,39,14,275,56,17,19,28
3,66,24,17,42,254,36,0,290,48,24,17,30
4,58,32,17,42,221,68,4,285,37,36,15,32
