,train_accuracy,train_f1_C0,train_f1_C1,train_precision_C0,train_precision_C1,train_recall_C0,train_recall_C1,train_roc_auc,valid_accuracy,valid_f1_C0,valid_f1_C1,valid_precision_C0,valid_precision_C1,valid_recall_C0,valid_recall_C1,valid_roc_auc
0,0.5,0.6666666666666666,0.0,0.5,0.0,1.0,0.0,0.5097384066587396,0.6050420168067226,0.7539267015706805,0.0,0.6050420168067226,0.0,1.0,0.0,0.474290780141844
1,0.5,0.6666666666666666,0.0,0.5,0.0,1.0,0.0,0.5142806183115339,0.6050420168067226,0.7539267015706805,0.0,0.6050420168067226,0.0,1.0,0.0,0.47842789598108754
2,0.5,0.6666666666666666,0.0,0.5,0.0,1.0,0.0,0.5130083234244946,0.6050420168067226,0.7539267015706805,0.0,0.6050420168067226,0.0,1.0,0.0,0.47724586288416077
3,0.5,0.6666666666666666,0.0,0.5,0.0,1.0,0.0,0.5167776456599287,0.6050420168067226,0.7539267015706805,0.0,0.6050420168067226,0.0,1.0,0.0,0.4778368794326241
4,0.5,0.6666666666666666,0.0,0.5,0.0,1.0,0.0,0.5136623067776456,0.6050420168067226,0.7539267015706805,0.0,0.6050420168067226,0.0,1.0,0.0,0.47754137115839246
5,0.5,0.6666666666666666,0.0,0.5,0.0,1.0,0.0,0.5204399524375743,0.6050420168067226,0.7539267015706805,0.0,0.6050420168067226,0.0,1.0,0.0,0.48167848699763594
6,0.5,0.6666666666666666,0.0,0.5,0.0,1.0,0.0,0.5272651605231867,0.6050420168067226,0.7539267015706805,0.0,0.6050420168067226,0.0,1.0,0.0,0.48936170212765956
7,0.5,0.6666666666666666,0.0,0.5,0.0,1.0,0.0,0.5341498216409037,0.6050420168067226,0.7539267015706805,0.0,0.6050420168067226,0.0,1.0,0.0,0.49497635933806144
8,0.5,0.6666666666666666,0.0,0.5,0.0,1.0,0.0,0.5338049940546967,0.6050420168067226,0.7539267015706805,0.0,0.6050420168067226,0.0,1.0,0.0,0.4929078014184397
9,0.5,0.6666666666666666,0.0,0.5,0.0,1.0,0.0,0.5279429250891796,0.6050420168067226,0.7539267015706805,0.0,0.6050420168067226,0.0,1.0,0.0,0.48906619385342787
10,0.5,0.6666666666666666,0.0,0.5,0.0,1.0,0.0,0.5335790725326992,0.6050420168067226,0.7539267015706805,0.0,0.6050420168067226,0.0,1.0,0.0,0.49379432624113473
11,0.5,0.6666666666666666,0.0,0.5,0.0,1.0,0.0,0.5248632580261594,0.6050420168067226,0.7539267015706805,0.0,0.6050420168067226,0.0,1.0,0.0,0.48463356973995275
12,0.5,0.6666666666666666,0.0,0.5,0.0,1.0,0.0,0.5274435196195006,0.6050420168067226,0.7539267015706805,0.0,0.6050420168067226,0.0,1.0,0.0,0.4875886524822695
13,0.5,0.6666666666666666,0.0,0.5,0.0,1.0,0.0,0.532960760998811,0.6050420168067226,0.7539267015706805,0.0,0.6050420168067226,0.0,1.0,0.0,0.48817966903073284
14,0.5,0.6666666666666666,0.0,0.5,0.0,1.0,0.0,0.5408799048751487,0.6050420168067226,0.7539267015706805,0.0,0.6050420168067226,0.0,1.0,0.0,0.49674940898345155
15,0.5,0.6666666666666666,0.0,0.5,0.0,1.0,0.0,0.5328180737217598,0.6050420168067226,0.7539267015706805,0.0,0.6050420168067226,0.0,1.0,0.0,0.4890661938534279
16,0.5,0.6666666666666666,0.0,0.5,0.0,1.0,0.0,0.5365279429250891,0.6050420168067226,0.7539267015706805,0.0,0.6050420168067226,0.0,1.0,0.0,0.48906619385342787
17,0.5,0.6666666666666666,0.0,0.5,0.0,1.0,0.0,0.5179072532699168,0.6050420168067226,0.7539267015706805,0.0,0.6050420168067226,0.0,1.0,0.0,0.4813829787234043
18,0.5,0.6666666666666666,0.0,0.5,0.0,1.0,0.0,0.5684542211652794,0.6050420168067226,0.7539267015706805,0.0,0.6050420168067226,0.0,1.0,0.0,0.524822695035461
19,0.5,0.6666666666666666,0.0,0.5,0.0,1.0,0.0,0.6265873959571938,0.6050420168067226,0.7539267015706805,0.0,0.6050420168067226,0.0,1.0,0.0,0.568853427895981
20,0.5,0.6666666666666666,0.0,0.5,0.0,1.0,0.0,0.5717835909631391,0.6050420168067226,0.7539267015706805,0.0,0.6050420168067226,0.0,1.0,0.0,0.5280732860520094
21,0.5,0.6666666666666666,0.0,0.5,0.0,1.0,0.0,0.5277645659928656,0.6050420168067226,0.7539267015706805,0.0,0.6050420168067226,0.0,1.0,0.0,0.4914302600472813
22,0.5,0.6666666666666666,0.0,0.5,0.0,1.0,0.0,0.5717241379310345,0.6050420168067226,0.7539267015706805,0.0,0.6050420168067226,0.0,1.0,0.0,0.5200945626477542
23,0.5,0.6666666666666666,0.0,0.5,0.0,1.0,0.0,0.5267241379310346,0.6050420168067226,0.7539267015706805,0.0,0.6050420168067226,0.0,1.0,0.0,0.49113475177304966
24,0.5,0.6666666666666666,0.0,0.5,0.0,1.0,0.0,0.6191319857312723,0.6050420168067226,0.7539267015706805,0.0,0.6050420168067226,0.0,1.0,0.0,0.5626477541371158
25,0.5,0.6666666666666666,0.0,0.5,0.0,1.0,0.0,0.5399286563614745,0.6050420168067226,0.7539267015706805,0.0,0.6050420168067226,0.0,1.0,0.0,0.499113475177305
