,test_C00,test_C01,test_C10,test_C11,train_C00,train_C01,train_C10,train_C11,valid_C00,valid_C01,valid_C10,valid_C11
0,71,19,26,33,229,61,76,214,54,18,20,27
1,34,56,4,55,137,153,1,289,37,35,2,45
2,80,10,33,26,259,30,106,183,64,9,28,19
3,90,0,59,0,290,0,290,0,72,0,47,0
4,82,8,39,20,259,30,181,108,59,14,32,15
