,test_C00,test_C01,test_C10,test_C11,train_C00,train_C01,train_C10,train_C11,valid_C00,valid_C01,valid_C10,valid_C11
0,64,26,17,42,233,57,20,270,52,20,11,36
1,0,90,1,58,0,290,0,290,0,72,0,47
2,60,30,14,45,236,53,1,288,47,26,10,37
3,73,17,23,36,249,41,25,265,58,14,21,26
4,43,47,8,51,177,112,0,289,27,46,6,41
