,test_C00,test_C01,test_C10,test_C11,train_C00,train_C01,train_C10,train_C11,valid_C00,valid_C01,valid_C10,valid_C11
0,73,17,29,30,274,16,46,244,58,14,19,28
1,62,28,22,37,256,34,0,290,52,20,16,31
2,66,24,27,32,258,31,28,261,59,14,18,29
3,59,31,16,43,253,37,0,290,47,25,19,28
4,61,29,21,38,246,43,6,283,44,29,16,31
