,test_C00,test_C01,test_C10,test_C11,train_C00,train_C01,train_C10,train_C11,valid_C00,valid_C01,valid_C10,valid_C11
0,69,21,16,43,285,5,0,290,48,24,9,38
1,77,13,26,33,288,2,16,274,61,11,29,18
2,66,24,23,36,280,9,3,286,53,20,14,33
3,62,28,18,41,280,10,0,290,48,24,18,29
4,64,26,18,41,258,31,1,288,39,34,18,29
