,test_C00,test_C01,test_C10,test_C11,train_C00,train_C01,train_C10,train_C11,valid_C00,valid_C01,valid_C10,valid_C11
0,71,19,15,44,272,18,7,283,60,12,15,32
1,63,27,14,45,249,41,1,289,50,22,9,38
2,81,9,31,28,283,6,62,227,68,5,20,27
3,78,12,32,27,290,0,22,268,63,9,28,19
4,57,33,13,46,241,48,5,284,43,30,4,43
