,test_C00,test_C01,test_C10,test_C11,train_C00,train_C01,train_C10,train_C11,valid_C00,valid_C01,valid_C10,valid_C11
0,3,87,0,59,0,290,0,290,1,71,0,47
1,88,2,57,2,290,0,290,0,70,2,46,1
2,78,12,28,31,237,52,131,158,62,11,19,28
3,1,89,0,59,0,290,0,290,0,72,0,47
4,1,89,0,59,0,289,0,289,1,72,0,47
