,test_C00,test_C01,test_C10,test_C11,train_C00,train_C01,train_C10,train_C11,valid_C00,valid_C01,valid_C10,valid_C11
0,90,0,59,0,290,0,290,0,72,0,47,0
1,0,90,0,59,0,290,0,290,0,72,0,47
2,89,1,58,1,289,0,289,0,70,3,47,0
3,2,88,0,59,0,290,0,290,1,71,0,47
4,70,20,22,37,265,24,1,288,56,17,9,38
