,test_C00,test_C01,test_C10,test_C11,train_C00,train_C01,train_C10,train_C11,valid_C00,valid_C01,valid_C10,valid_C11
0,68,22,15,44,268,22,3,287,56,16,11,36
1,67,23,17,42,278,12,2,288,55,17,12,35
2,68,22,21,38,267,22,12,277,59,14,15,32
3,70,20,18,41,289,1,0,290,59,13,14,33
4,67,23,19,40,262,27,9,280,55,18,10,37
