,test_C00,test_C01,test_C10,test_C11,train_C00,train_C01,train_C10,train_C11,valid_C00,valid_C01,valid_C10,valid_C11
0,65,25,14,45,257,33,2,288,52,20,11,36
1,77,13,30,29,288,2,32,258,64,8,20,27
2,79,11,25,34,279,10,47,242,67,6,18,29
3,74,16,23,36,290,0,0,290,60,12,21,26
4,67,23,25,34,268,21,15,274,57,16,11,36
