,test_C00,test_C01,test_C10,test_C11,train_C00,train_C01,train_C10,train_C11,valid_C00,valid_C01,valid_C10,valid_C11
0,71,19,17,42,272,18,9,281,61,11,15,32
1,81,9,39,20,290,0,69,221,67,5,27,20
2,72,18,22,37,279,10,16,273,63,10,17,30
3,75,15,28,31,290,0,0,290,61,11,23,24
4,73,17,29,30,289,0,4,285,62,11,17,30
