,test_C00,test_C01,test_C10,test_C11,train_C00,train_C01,train_C10,train_C11,valid_C00,valid_C01,valid_C10,valid_C11
0,69,21,23,36,251,39,13,277,56,16,12,35
1,69,21,21,38,269,21,7,283,57,15,23,24
2,67,23,25,34,254,35,11,278,54,19,15,32
3,62,28,12,47,245,45,0,290,46,26,18,29
4,48,42,10,49,203,86,0,289,31,42,11,36
