,test_C00,test_C01,test_C10,test_C11,train_C00,train_C01,train_C10,train_C11,valid_C00,valid_C01,valid_C10,valid_C11
0,81,9,28,31,287,3,37,253,58,14,22,25
1,79,11,27,32,285,5,5,285,60,12,29,18
2,63,27,20,39,253,36,0,289,49,24,12,35
3,66,24,17,42,269,21,0,290,49,23,20,27
4,64,26,22,37,245,44,10,279,41,32,21,26
