,test_C00,test_C01,test_C10,test_C11,train_C00,train_C01,train_C10,train_C11,valid_C00,valid_C01,valid_C10,valid_C11
0,70,20,16,43,273,17,5,285,59,13,11,36
1,71,19,25,34,283,7,17,273,60,12,18,29
2,71,19,24,35,278,11,21,268,65,8,17,30
3,66,24,18,41,288,2,0,290,56,16,11,36
4,71,19,30,29,280,9,23,266,56,17,19,28
