,test_C00,test_C01,test_C10,test_C11,train_C00,train_C01,train_C10,train_C11,valid_C00,valid_C01,valid_C10,valid_C11
0,89,1,58,1,290,0,290,0,71,1,45,2
1,89,1,59,0,290,0,290,0,72,0,46,1
2,1,89,0,59,0,289,0,289,0,73,2,45
3,89,1,58,1,290,0,290,0,71,1,47,0
4,70,20,22,37,254,35,7,282,54,19,7,40
